track_key,song,artist,entry_date,exit_date,total_days,peak_position,album_type,total_tracks,is_explicit,duration_ms,avg_popularity,max_popularity,peak_date,days_to_peak,is_still_active,album_size_bucket
un rodeoooo || rels b,Un Rodeoooo,Rels B,2024-07-23,2024-09-23,57,36,album,9,False,136082,75.08771929824562,78,2024-08-10,18,False,Album (6-12)
celine (with kidd keo) || ghost killer track & kidd keo,Celine (with Kidd Keo),Ghost Killer Track & Kidd Keo,2025-10-03,2025-11-27,55,9,single,1,False,176017,71.65454545454546,73,2025-10-18,15,True,Single (1)
gata only || floyymenor,Gata Only,FloyyMenor,2025-08-10,2025-10-14,55,15,album,7,True,222000,75.03636363636363,80,2025-08-10,0,False,Album (6-12)
acróstico || shakira,Acróstico,Shakira,2024-05-18,2024-07-09,53,1,single,1,False,170785,90.8490566037736,92,2024-05-19,1,False,Single (1)
despechá || rosalía,DESPECHÁ,ROSALÍA,2024-05-22,2025-01-02,51,39,album,24,False,156787,84.54901960784314,86,2024-06-12,21,False,Large Album (13+)
potra salvaje || isabel aaiún,Potra Salvaje,Isabel Aaiún,2025-07-07,2025-08-28,50,14,album,10,False,199624,64.7,67,2025-07-18,11,False,Album (6-12)
hibiki || bad bunny,HIBIKI,Bad Bunny,2024-10-14,2024-12-01,49,2,album,22,True,208000,88.28571428571429,92,2024-10-14,0,False,Large Album (13+)
qué pecao || manuel turizo & kapo,Qué Pecao,Manuel Turizo & Kapo,2025-10-06,2025-11-23,49,13,single,1,False,230073,74.14285714285714,77,2025-10-13,7,False,Single (1)
s91 || karol g,S91,KAROL G,2024-07-16,2024-09-04,49,21,single,1,False,173005,80.77551020408163,89,2024-08-13,28,False,Single (1)
die with a smile || lady gaga & bruno mars,Die With A Smile,Lady Gaga & Bruno Mars,2025-08-31,2025-11-23,48,29,single,1,False,251667,99.77083333333331,100,2025-11-15,76,False,Single (1)
la última || quevedo,LA ÚLTIMA,Quevedo,2025-02-03,2025-03-23,48,1,single,1,False,170322,81.45833333333333,84,2025-02-03,0,False,Single (1)
gatitas sandungueras vol.1 || alvaro diaz,GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,2025-05-19,2025-07-03,46,12,album,20,False,131853,77.8913043478261,83,2025-06-12,24,False,Large Album (13+)
gitana (feat. bryartz) || pablo chill-e,Gitana (feat. Bryartz),Pablo Chill-E,2025-05-03,2025-06-17,45,15,album,8,True,221714,80.77777777777777,83,2025-05-17,14,False,Album (6-12)
pasajero || mora,PASAJERO,Mora,2024-08-30,2024-10-13,45,4,album,15,False,149538,80.02222222222223,83,2024-08-30,0,False,Large Album (13+)
mamichula - con nicki nicole || trueno,Mamichula - con Nicki Nicole,Trueno,2025-02-18,2025-04-05,44,7,album,10,False,219201,87.04545454545455,89,2025-03-04,14,False,Album (6-12)
extasisssssss || saiko,Extasisssssss,Saiko,2024-12-20,2025-01-31,43,18,single,2,False,116666,66.53488372093024,75,2024-12-22,2,False,EP (2-5)
x'clusivo - remix || gonzy,X'CLUSIVO - REMIX,Gonzy,2025-10-13,2025-11-23,42,21,album,18,True,208133,57.71428571428572,64,2025-10-13,0,False,Large Album (13+)
69 || nicky jam & feid,69,Nicky Jam & Feid,2024-05-21,2024-06-30,41,22,single,1,True,221935,83.53658536585365,87,2024-05-31,10,False,Single (1)
piribiri || jc reyes & pedro calderon,PIRIBIRI,JC Reyes & Pedro Calderon,2024-08-09,2024-09-29,41,37,single,1,False,176727,74.1951219512195,75,2024-09-17,39,False,Single (1)
mi lova || bad gyal & myke towers,Mi Lova,Bad Gyal & Myke Towers,2024-07-09,2024-08-18,41,14,single,1,True,220173,76.58536585365853,80,2024-07-09,0,False,Single (1)
degenere 👑 (feat. benny blanco) || myke towers,DEGENERE 👑 (feat. benny blanco),Myke Towers,2025-10-20,2025-11-27,39,1,album,30,True,130880,77.8974358974359,84,2025-10-25,5,True,Large Album (13+)
sorry 4 that much || feid,SORRY 4 THAT MUCH,Feid,2025-06-09,2025-07-17,38,9,single,1,True,207746,81.44736842105263,88,2025-06-17,8,False,Single (1)
rapapa || jc reyes,RAPAPA,JC Reyes,2025-10-20,2025-11-26,38,8,single,6,False,120888,66.5,71,2025-11-01,12,False,Album (6-12)
tuya || rosalía,TUYA,ROSALÍA,2024-06-11,2024-07-18,38,6,single,1,True,154551,84.92105263157895,87,2024-06-11,0,False,Single (1)
x'clusivo || gonzy,X'CLUSIVO,Gonzy,2025-01-31,2025-03-09,38,3,single,1,True,175586,77.73684210526316,81,2025-03-02,30,False,Single (1)
un preview || bad bunny,UN PREVIEW,Bad Bunny,2024-09-27,2024-11-02,37,1,single,1,False,165582,81.13513513513513,92,2024-09-27,0,False,Single (1)
star || jc reyes,STAR,JC Reyes,2025-10-20,2025-11-27,37,7,single,6,False,156000,67.62162162162163,73,2025-11-15,26,True,Album (6-12)
la jumpa || arcángel,La Jumpa,Arcángel,2024-05-18,2024-06-23,37,36,album,18,True,255693,87.0,87,2024-05-29,11,False,Large Album (13+)
santa || rvssian & rauw alejandro & ayra starr,Santa,Rvssian & Rauw Alejandro & Ayra Starr,2025-04-16,2025-05-21,36,1,single,1,False,193038,87.55555555555556,93,2025-04-21,5,False,Single (1)
fruto || bizarrap & milo j,Fruto,Bizarrap & Milo j,2024-10-07,2024-11-11,36,12,single,5,False,132294,87.30555555555556,91,2024-10-12,5,False,EP (2-5)
empelotica || lenny tavárez & feid,EMPELOTICA,Lenny Tavárez & Feid,2025-02-25,2025-04-06,36,16,single,1,True,190322,79.55555555555556,83,2025-03-03,6,False,Single (1)
fina || bad bunny,FINA,Bad Bunny,2024-10-14,2024-11-18,36,4,album,22,True,216327,89.0,93,2024-10-14,0,False,Large Album (13+)
ferxxo 151 || feid & icon,FERXXO 151,Feid & ICON,2024-08-26,2024-09-29,35,9,single,1,False,195653,78.88571428571429,83,2024-08-26,0,False,Single (1)
thunder y lightning || bad bunny,THUNDER Y LIGHTNING,Bad Bunny,2024-10-14,2024-11-17,35,14,album,22,True,217133,83.37142857142857,87,2024-10-14,0,False,Large Album (13+)
como camarón || estopa,Como Camarón,Estopa,2024-11-29,2025-02-21,35,32,album,12,False,202026,73.42857142857143,75,2025-01-03,35,False,Album (6-12)
pedro || jaxomy & agatino romero & raffaella carrà,Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,2025-04-14,2025-05-21,35,14,single,1,False,144846,87.65714285714286,92,2025-04-21,7,False,Single (1)
alucin || eugenio esquivel & grupo marca registrada & sebastian esquivel,Alucin,Eugenio Esquivel & Grupo Marca Registrada & Sebastian Esquivel,2025-01-13,2025-04-05,35,21,single,1,True,197114,89.45714285714286,91,2025-03-22,68,False,Single (1)
contigo (with tiësto) || karol g & tiësto,CONTIGO (with Tiësto),KAROL G & Tiësto,2025-02-17,2025-03-24,35,13,single,1,False,192786,88.0,90,2025-02-18,1,False,Single (1)
akureyri || aitana & sebastian yatra,Akureyri,Aitana & Sebastian Yatra,2025-04-28,2025-06-01,34,10,single,1,False,194400,74.6470588235294,77,2025-04-28,0,False,Single (1)
thalía - remix || cyril kamer & rvfv & polimá westcoast,Thalía - Remix,Cyril Kamer & Rvfv & Polimá Westcoast,2025-07-18,2025-08-23,34,25,single,1,False,230857,69.17647058823529,72,2025-08-04,17,False,Single (1)
vista al mar || quevedo,VISTA AL MAR,Quevedo,2024-05-21,2024-07-29,33,43,album,16,False,180672,82.18181818181819,83,2024-05-30,9,False,Large Album (13+)
corazón roto - remix || brray & jhayco & ryan castro,Corazón Roto - Remix,Brray & Jhayco & Ryan Castro,2024-08-10,2024-09-13,33,26,single,1,True,275040,86.72727272727273,87,2024-09-09,30,False,Single (1)
mojabi ghost || tainy,MOJABI GHOST,Tainy,2024-07-02,2024-08-03,33,6,album,19,True,232131,91.0909090909091,94,2024-07-02,0,False,Large Album (13+)
tqmqa || eladio carrion,TQMQA,Eladio Carrion,2024-12-17,2025-01-26,32,15,single,1,False,169911,74.78125,80,2025-01-21,35,False,Single (1)
la inocente || mora,LA INOCENTE,Mora,2024-05-30,2024-08-11,31,45,album,15,True,202173,88.80645161290323,90,2024-06-21,22,False,Large Album (13+)
